"id","title","description","agent","scope","deps","execution_group","context_from","wave","task_json_path","hints","execution_directives","acceptance_criteria","prev_context","status","findings","files_modified","tests_passed","acceptance_met","summary_path","error"
"IMPL-001","Collapse duplicated gateway integration adapter ownership","Refactor the gateway seam so 1 explicit integration adapter bundle in `src-ts/integrations/adapters.ts` becomes the only owner consumed by `ServiceContainer`, container adapters, and `UnifiedMemoryEngine`, then rebaseline the existing gateway tests around the closed seam.","@code-developer","src-ts/container/ServiceContainer.ts;src-ts/container/adapters.ts;src-ts/integrations/adapters.ts;src-ts/memory/unified-memory.ts;src-ts/tests/container/**;src-ts/tests/integrations/**;src-ts/tests/memory/**","","wave-1-foundation","","1",".task/IMPL-001.json","","npm --prefix src-ts run test -- tests/integrations/adapters.test.ts tests/memory/unified-memory.integration-adapters.test.ts tests/container/search-engine-adapter.default-constructor.test.ts tests/container/ServiceContainer.test.ts && npm --prefix src-ts run typecheck","1 shared integration adapter ownership path exists in `src-ts/integrations/adapters.ts` and is consumed by 3 callers: `src-ts/container/ServiceContainer.ts`, `src-ts/container/adapters.ts`, and `src-ts/memory/unified-memory.ts`.; 0 duplicate `IntegrationFlags` or `createNoOpAdapters` seams remain in `src-ts/memory/unified-memory.ts`.; 2 behavior modes remain explicit for each optional boundary: local-first default and enabled integration path, with no ambiguous placeholder factory block left in `src-ts/container/ServiceContainer.ts`.","","completed","ServiceContainer now explicitly owns the integration bundle, SearchEngineAdapter/MemoryEngineAdapter accept injection, and UnifiedMemoryEngine no longer mirrors adapter factory logic.","src-ts/container/ServiceContainer.ts;src-ts/container/adapters.ts;src-ts/memory/unified-memory.ts","true","Shared adapter ownership path consolidated across ServiceContainer, container adapters, and UnifiedMemoryEngine; duplicate reduced adapter seam removed; tests and typecheck passed.",".summaries/IMPL-001-summary.md",""
"IMPL-002","Establish the repo-local JS/TS engineering baseline","Create 2-3 shared repo-level quality config files, add `lint`, `format`, `format:check`, and `check:local` commands to both active product packages, and refresh the 2 lockfiles so the local developer loop matches the current `desktop + src-ts` authority path. Keep the first-pass lint/format boundary limited to active package source/config surfaces and do not widen it into repo-wide cleanup.","@code-developer","desktop/package.json;desktop/package-lock.json;src-ts/package.json;src-ts/package-lock.json;eslint.config.mjs;prettier.config.mjs;.prettierignore","","wave-1-foundation","","1",".task/IMPL-002.json","","npm --prefix src-ts run lint && npm --prefix src-ts run format:check && npm --prefix src-ts run check:local && npm --prefix desktop run lint && npm --prefix desktop run format:check && npm --prefix desktop run check:local","2 package manifests expose `lint`, `format`, `format:check`, and `check:local` or an equivalent authoritative local-baseline command.; 2-3 repo-level quality config files exist and target only the active `desktop` and `src-ts` source or config surfaces while excluding build output, generated artifacts, and workflow directories.; The new local baseline keeps desktop validation and src-ts high-signal checks in the local developer loop instead of leaving them CI-only.; 0 first-pass autofix scope is spent on docs, `.workflow`, generated artifacts, or historical compatibility surfaces outside the active `desktop` and `src-ts` source/config boundary.","","completed","Added root ESLint/Prettier config plus bounded lint/format/check:local commands for desktop and src-ts; both package-level local baselines run successfully on the current repo.","desktop/package.json;desktop/package-lock.json;src-ts/package.json;src-ts/package-lock.json;eslint.config.mjs;prettier.config.mjs;.prettierignore","true","Both active packages expose lint/format/format:check/check:local, shared root config exists, and local baseline stays bounded to active package/config surfaces.",".summaries/IMPL-002-summary.md",""
"IMPL-003","Extract the desktop transport contract from the live desktop invoke surface","Split the 5 live Tauri commands `[get_gateway_base, set_gateway_base_override, start_backend, check_backend_health, call_api]`, 1 generic request envelope, and the runtime-base resolution path out of the current desktop invoke surface into a dedicated transport contract layer while preserving the existing Rust host behavior in `desktop/src-tauri/src/main.rs`.","@code-developer","desktop/src/api/client.ts;desktop/src/api/transport.ts;desktop/src/api/tauri-contract.ts;desktop/src/hooks/useAppBackendBootstrap.ts;desktop/src/components/SettingsModal.tsx;desktop/src-tauri/src/main.rs;desktop/src/api/client.test.ts","","wave-1-foundation","","1",".task/IMPL-003.json","","npm --prefix desktop run typecheck && npm --prefix desktop run test -- src/api/client.test.ts && cargo check --manifest-path desktop/src-tauri/Cargo.toml","`desktop/src/api/client.ts` no longer owns the Tauri command-name literals or the generic invoke or fetch transport envelope.; 1 desktop transport contract layer exists and is the single source for the 5 live Tauri commands, HTTP method types, request envelope, and base normalization or runtime-base helpers.; 0 raw command-name string usages remain outside the transport contract across `desktop/src/api/client.ts`, `desktop/src/hooks/useAppBackendBootstrap.ts`, and `desktop/src/components/SettingsModal.tsx`.; `desktop/src-tauri/src/main.rs` still exposes the same 5 commands and matches the extracted contract naming without adding new runtime branches.","","completed","Desktop now has a shared Tauri command contract and transport layer; raw command strings were removed from client.ts, useAppBackendBootstrap.ts, and SettingsModal.tsx while keeping the 5-command Rust surface stable.","desktop/src/api/client.ts;desktop/src/api/tauri-contract.ts;desktop/src/api/transport.ts;desktop/src/hooks/useAppBackendBootstrap.ts;desktop/src/components/SettingsModal.tsx","true","Single desktop transport contract layer exists, live invoke call sites consume it, and desktop typecheck/tests plus cargo check passed.",".summaries/IMPL-003-summary.md",""
"IMPL-004","Fence the deprecated web gateway compatibility surface","After the gateway adapter seam is closed, reduce the residual web compatibility path in `src-ts/web/app.ts` to an explicitly bounded fallback so HTTP root forwarding and websocket workflow behavior remain opt-in compatibility logic rather than a parallel primary surface.","@code-developer","src-ts/web/app.ts;src-ts/tests/web/app.test.ts","IMPL-001","wave-2-boundary-completion","IMPL-001","2",".task/IMPL-004.json","","npm --prefix src-ts run test -- tests/web/app.test.ts && npm --prefix src-ts run typecheck","1 deprecated HTTP root policy remains in `src-ts/web/app.ts`: default `410` response with validated forwarding only when `WEB_UI_FORWARD_URL` is explicitly set.; 1 websocket compatibility policy remains opt-in and continues to advertise Desktop client or MCP Gateway as the primary path.; 0 new runtime dependencies from `src-ts/web/app.ts` back into the core gateway integration bundle are introduced.","","completed","Web compatibility responses now mark themselves as compatibility-only and advertise desktop+mcp-gateway as the primary path while preserving the existing 410/302 and websocket gate behavior.","src-ts/web/app.ts;src-ts/tests/web/app.test.ts","true","Deprecated web root remains bounded by default 410/explicit forward only, compatibility framing is clearer, and web compatibility tests plus typecheck passed.",".summaries/IMPL-004-summary.md",""
"IMPL-005","Retire legacy pytest defaults and align delivery-gate local anchors","Remove the stale `pytest.ini` default coverage posture tied to the retired `src` path, preserve the targeted Python regression surface that still matters, and update `scripts/delivery_gate.py` only where it must follow the new package-level local baseline commands from `IMPL-002`.","@code-developer","pytest.ini;scripts/delivery_gate.py","IMPL-002","wave-2-boundary-completion","IMPL-002","2",".task/IMPL-005.json","","python -m pytest tests/unit/scripts/test_governance_scripts.py -q && python scripts/delivery_gate.py","`pytest.ini` no longer defaults to `--cov=src` or `--cov-fail-under=100`, and the default pytest invocation remains valid for the residual script-test surface.; `scripts/delivery_gate.py` checks the new local baseline anchors introduced in `IMPL-002` only where those anchors replace the previous package-script assumptions.; The task does not modify `.github` workflows, `scripts/check_authority_alignment.py`, or `scripts/release_check_summary.py`; it only keeps the local semantic gate consistent with the updated developer baseline.","","completed","Removed legacy pytest coverage defaults and updated delivery_gate.py to require the new desktop/src-ts check:local anchors without reopening governance-hardening rules.","pytest.ini;scripts/delivery_gate.py","true","pytest.ini no longer defaults to --cov=src or 100% coverage; delivery gate follows new local baseline anchors and governance script regression tests still pass.",".summaries/IMPL-005-summary.md",""
"IMPL-006","Extract shared desktop gateway schemas and thin the endpoint facade","Move 3 shared schema families out of `desktop/src/api/client.ts` into an explicit desktop-side contract layer, then keep `client.ts` as a thinner endpoint facade that reuses the extracted transport contract from `IMPL-003` and the settled gateway boundary from `IMPL-001`.","@code-developer","desktop/src/api/client.ts;desktop/src/api/contracts.ts;desktop/src/api/transport.ts;desktop/src/api/client.test.ts","IMPL-001;IMPL-003","wave-2-boundary-completion","IMPL-001;IMPL-003","2",".task/IMPL-006.json","","npm --prefix desktop run typecheck && npm --prefix desktop run test -- src/api/client.test.ts","The 3 shared schema families `[GatewayHealth/runtime, GatewayServiceConfig admin, WritingHelper request-response]` live outside `desktop/src/api/client.ts` and are imported from 1 desktop-side schema file or folder.; `desktop/src/api/client.ts` remains the public endpoint facade, but its inline type surface is reduced to endpoint-local types instead of transport and shared contracts.; `desktop/src/api/client.test.ts` or successor focused tests cover the extracted transport and schema split without reducing existing desktop API regression coverage.","","completed","Shared gateway/runtime, service-config, and writing-helper DTO families now live in desktop/src/api/contracts.ts; client.ts re-exports them and remains a thinner endpoint facade.","desktop/src/api/client.ts;desktop/src/api/contracts.ts","true","Shared desktop DTO families moved out of client.ts, public type surface preserved via re-export, and desktop typecheck plus client tests passed.",".summaries/IMPL-006-summary.md",""
"IMPL-007","Close non-skill knowledge tab dead ends in KnowledgeModal","Implement the minimum user-facing closure for the 3 non-skill knowledge tabs by adding a real read-only selection and detail path for existing items and converting the current empty-state add buttons into explicit unavailable states instead of dead CTAs.","@code-developer","desktop/src/components/KnowledgeModal.tsx;desktop/src/components/knowledge/CharacterTab.tsx;desktop/src/components/knowledge/LocationTab.tsx;desktop/src/components/knowledge/PlotTab.tsx","IMPL-006","wave-3-knowledge-closure","IMPL-006","3",".task/IMPL-007.json","","npm --prefix desktop run typecheck && manual smoke-check the knowledge modal for character, location, and plot selection/detail rendering plus inactive empty-state affordances","1 shared non-skill selection state is added in `KnowledgeModal.tsx` for 3 tabs: characters, locations, and plots.; 3 item-list flows expose deterministic read-only detail content when a user clicks a character, location, or plot card.; 3 empty-state add CTAs are removed from the dead-action path by rendering an explicit unavailable state: disabled button, static message, or equivalent non-clickable affordance.","","completed","KnowledgeModal now exposes a shared read-only detail card for character/location/plot selections, selected cards are highlighted, and empty-state add buttons are explicitly disabled.","desktop/src/components/KnowledgeModal.tsx;desktop/src/components/knowledge/CharacterTab.tsx;desktop/src/components/knowledge/LocationTab.tsx;desktop/src/components/knowledge/PlotTab.tsx","true","Non-skill tabs now have meaningful read-only selection/detail behavior and no longer expose clickable dead create affordances; typecheck and existing modal tests passed.",".summaries/IMPL-007-summary.md",""
"IMPL-008","Add behavior coverage for the knowledge-surface closure","Expand the existing `KnowledgeModal.test.tsx` file from accessibility and label coverage into behavior-focused regression coverage for the closed non-skill path: tab loading, item selection, detail rendering, and inactive create affordances.","@code-developer","desktop/src/components/KnowledgeModal.test.tsx","IMPL-007","wave-4-assurance-and-clarity","IMPL-007","4",".task/IMPL-008.json","","npm --prefix desktop run test -- src/components/KnowledgeModal.test.tsx","1 existing modal test file covers 3 non-skill tabs instead of label-only rendering.; 3 click-to-detail behaviors are asserted: character, location, and plot selection each reveals stable read-only detail output.; 3 empty-state affordances are asserted as intentionally inactive or explicitly unavailable, so regressions cannot reintroduce dead buttons.","","completed","KnowledgeModal.test.tsx now covers non-skill read-only detail selection across character/location/plot tabs and asserts disabled empty-state create affordances.","desktop/src/components/KnowledgeModal.test.tsx","true","Existing modal test file now includes behavior coverage for the closure path added in IMPL-007, and the focused test suite plus typecheck pass.",".summaries/IMPL-008-summary.md",""
"IMPL-009","Make the Story Bible persistence contract explicit","Codify Story Bible as a local-only draft surface in UI, copy, docs, and tests: 5 authoring fields stay in localStorage, 2 list sections stay graph-backed reads, and no gateway- or Tauri-backed project persistence is added in this task. Create the focused `StoryBiblePanel` test surface if it does not already exist.","@code-developer","desktop/src/components/StoryBiblePanel.tsx;desktop/src/i18n/translations.ts;desktop/src/components/StoryBiblePanel.test.tsx;docs/niko-studio-writing-workflow.md","IMPL-007","wave-4-assurance-and-clarity","IMPL-007","4",".task/IMPL-009.json","","npm --prefix desktop run test -- src/components/StoryBiblePanel.test.tsx && npm --prefix desktop run typecheck","1 persistence contract is rendered in the panel and states that 5 draft fields are local-only: `[braindump, genres, synopsis, outline, style]`.; 1 documentation update explains that 2 list sections are graph-backed reads: `[characters, locations]`, and are not part of the local draft payload.; 1 new or updated dedicated desktop component test covers local draft restore or fallback semantics and verifies the boundary copy is visible.","","completed","StoryBiblePanel now visibly documents the local-only draft contract, translations/docs are aligned, and a new StoryBiblePanel.test.tsx covers restore semantics and boundary copy.","desktop/src/components/StoryBiblePanel.tsx;desktop/src/components/StoryBiblePanel.test.tsx;desktop/src/i18n/translations.ts;docs/niko-studio-writing-workflow.md","true","Persistence boundary copy is rendered, docs explain graph-backed read sections, and the new focused StoryBiblePanel test plus desktop typecheck pass.",".summaries/IMPL-009-summary.md",""
"IMPL-010","Add local-only backup, restore, and reset for Story Bible drafts","After the local-only Story Bible boundary is explicit, add a front-end-only portability flow for the 5 draft fields: export a versioned JSON payload, import it back into the panel, and reset the local draft keys without including graph-derived character or location data.","@code-developer","desktop/src/components/StoryBiblePanel.tsx;desktop/src/i18n/translations.ts;desktop/src/components/StoryBiblePanel.test.tsx;docs/niko-studio-writing-workflow.md","IMPL-009","wave-5-story-bible-recovery","IMPL-009","5",".task/IMPL-010.json","","npm --prefix desktop run test -- src/components/StoryBiblePanel.test.tsx && npm --prefix desktop run typecheck","1 export action writes a versioned payload containing exactly 5 draft fields: `[braindump, genres, synopsis, outline, style]`.; 1 import action restores those same 5 fields from a previously exported file and rejects malformed payloads with a visible error state.; 1 reset action clears only Story Bible local draft keys and leaves graph-backed character and location loading behavior unchanged.","","completed","StoryBiblePanel now supports local-only export/import/reset for the 5 draft fields via a versioned JSON payload, with tests proving the graph-backed lists stay out of the payload.","desktop/src/components/StoryBiblePanel.tsx;desktop/src/components/StoryBiblePanel.test.tsx;desktop/src/i18n/translations.ts;docs/niko-studio-writing-workflow.md","true","Export/import/reset flow exists for only the 5 local draft fields, invalid imports are bounded, reset clears only draft keys, and focused tests plus desktop typecheck pass.",".summaries/IMPL-010-summary.md",""
