id,title,description,layer,phase_dir,check_type,deps,context_from,wave,status,findings,gaps_found,fix_plan,error
"1","Truth: Backend writing-craft analyze endpoint works","Verify the backend exposes a real /writing-craft/analyze endpoint with passing tests.","truth",".workflow/scratch/20260507-plan-P1-writing-craft-ui","observable_behavior","","","1","completed","Verified by src-ts/tests/mcp/writing-craft-endpoints.test.ts: 9 tests passed against writingCraftAnalyzeEndpoint.","[]","",""
"2","Truth: Main UI exposes writing-craft controls","Verify the desktop analysis UI actually exposes controls that let users invoke the writing-craft backend from the main interface.","truth",".workflow/scratch/20260507-plan-P1-writing-craft-ui","observable_behavior","","","1","failed","WritingDashboard exists but is not referenced by AnalysisPanel or any other main panel entry point, so the main UI does not expose this control path.","[{""id"":""GAP-001"",""type"":""missing_feature"",""severity"":""critical"",""description"":""Main desktop analysis UI does not mount or route to WritingDashboard, so users cannot control the writing-craft backend from the primary interface."",""fix_direction"":""Integrate WritingDashboard into AnalysisPanel or another production-visible panel/tab and wire visible navigation to it.""}]","Add a production-visible entry point for WritingDashboard and verify the control flow from tab click to API call.",""
"3","Artifact Exists: src-ts/mcp/endpoints/writing-craft.ts","Check that the MCP endpoint implementation exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","Endpoint file exists on disk and contains multi-dimension analyzer logic.","[]","",""
"4","Artifact Exists: src-ts/tests/mcp/writing-craft-endpoints.test.ts","Check that backend endpoint tests exist.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","Backend endpoint test file exists on disk.","[]","",""
"5","Artifact Exists: desktop/src/api/writing-craft.ts","Check that the desktop bridge file exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","Desktop bridge file exists on disk.","[]","",""
"6","Artifact Exists: desktop/src/api/writing-craft.test.ts","Check that the desktop bridge test file exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","failed","Planned dedicated desktop API bridge test file is missing.","[{""id"":""GAP-002"",""type"":""missing_test"",""severity"":""high"",""description"":""desktop/src/api/writing-craft.test.ts does not exist even though TASK-002 requires a bridge-layer test."",""fix_direction"":""Add a dedicated API bridge test that mocks callApi and verifies /writing-craft/analyze and /writing-craft/llm-analyze requests.""}]","Create desktop/src/api/writing-craft.test.ts and cover request payloads plus response passthrough.",""
"7","Artifact Exists: desktop/src/components/intelligence/WritingDashboard.tsx","Check that the dashboard component exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","WritingDashboard component file exists on disk.","[]","",""
"8","Artifact Exists: desktop/src/components/intelligence/WritingDimensionDetail.tsx","Check that the detail component exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","WritingDimensionDetail component file exists on disk.","[]","",""
"9","Artifact Exists: desktop/src/components/intelligence/AntiPatternWarning.tsx","Check that the anti-pattern warning component exists.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","failed","Planned AntiPatternWarning component file is missing.","[{""id"":""GAP-003"",""type"":""missing_feature"",""severity"":""high"",""description"":""desktop/src/components/intelligence/AntiPatternWarning.tsx is absent although TASK-004 requires it."",""fix_direction"":""Implement AntiPatternWarning.tsx and wire it into WritingDimensionDetail for surfaced anti-pattern signals.""}]","Add AntiPatternWarning.tsx and export it from the intelligence component barrel.",""
"10","Artifact Substance: desktop/src/api/writing-craft.ts","Verify the bridge file contains real implementation.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","5","5","2","completed","Bridge file defines dimension/result types and two real callApi wrappers for analyze and llm-analyze.","[]","",""
