id,title,description,test,acceptance_criteria,scope,hints,execution_directives,deps,context_from,wave,status,findings,files_modified,tests_passed,acceptance_met,error
"DLV-001","Repair evaluation quality-check route mismatch","Align the desktop Evaluation quality-check action with the real gateway route and strengthen tests so they assert the real endpoint instead of only mocked behavior.","Desktop tests: npm --prefix desktop run test -- src/api/client.test.ts src/components/EvaluationPanel.test.tsx ; Gateway tests: npm --prefix src-ts exec -- vitest run tests/gateway-server.routes.test.ts --reporter=default","novelQualityCheck no longer calls a stale endpoint; desktop tests assert the authoritative route; any gateway compatibility path is explicitly tested or documented","desktop/src/api/evaluation.ts;desktop/src/hooks/useEvaluationQualityCheck.ts;desktop/src/components/EvaluationPanel.test.tsx;desktop/src/api/client.test.ts;src-ts/mcp/routes/content.ts;src-ts/tests/gateway-server.routes.test.ts","Prefer using the existing /writing/quality gateway route unless there is a compelling compatibility reason to expose an alias. Strengthen client and UI tests to prove the real endpoint path. || desktop/src/api/evaluation.ts;desktop/src/components/EvaluationPanel.test.tsx;desktop/src/api/client.test.ts;src-ts/mcp/routes/content.ts","Run the listed desktop and src-ts tests before reporting completion. Do not edit files outside scope.","","","1","completed","novelQualityCheck now uses /writing/quality; desktop API tests assert the authoritative route and explicitly reject /api/novel/quality-check; gateway route tests confirm only /writing/quality is registered.","desktop/src/api/evaluation.ts;desktop/src/api/client.test.ts;src-ts/tests/gateway-server.routes.test.ts","true","Desktop quality-check is aligned with the real gateway endpoint and regression tests now protect the correct route.",""
"DLV-002","Close checkpoint authority seam","Propagate workspace authority or equivalent release-safe gating across checkpoint create/list/restore, or otherwise remove the customer-visible restore surface in a release-safe way. Prefer fixing the authority model rather than hiding functionality.","Backend tests: npm --prefix src-ts exec -- vitest run tests/mcp/workflow-endpoints.integration.test.ts mcp/workflow-service.workspace.test.ts --reporter=default ; Authority check: python scripts/check_authority_alignment.py","checkpoint create/list/restore no longer bypass workspace authority expectations; tests explicitly cover the corrected behavior; no customer-visible uncontrolled restore path remains","desktop/src/api/workflow/checkpoints.ts;desktop/src/hooks/useAppCheckpointMenu.ts;desktop/src/hooks/useEvaluationCheckpoints.ts;desktop/src/hooks/useChatRecovery.ts;src-ts/mcp/endpoints/workflow.ts;src-ts/mcp/services/workflow.ts;src-ts/mcp/workflow-service.workspace.test.ts;src-ts/tests/mcp/workflow-endpoints.integration.test.ts","Mirror the authority/session pattern already used by quickRollbackWorkflow and workflow lifecycle/execute. Prefer code-path alignment over UI-only hiding. || desktop/src/api/workflow/checkpoints.ts;src-ts/mcp/endpoints/workflow.ts;src-ts/mcp/services/workflow.ts;src-ts/mcp/workflow-service.workspace.test.ts;src-ts/tests/mcp/workflow-endpoints.integration.test.ts","Run the listed backend tests and authority check before reporting completion. Do not edit files outside scope.","","","1","completed","Checkpoint create/list/restore now resolve and enforce workspace authority instead of operating as anonymous global calls; desktop checkpoint surfaces send scoped workspace payloads; service and endpoint tests now cover planless checkpoint binding and mismatch behavior.","desktop/src/api/workflow/checkpoints.ts;desktop/src/hooks/useAppCheckpointMenu.ts;desktop/src/hooks/useEvaluationCheckpoints.ts;desktop/src/hooks/useChatRecovery.ts;src-ts/mcp/endpoints/workflow.ts;src-ts/mcp/services/workflow.ts;src-ts/mcp/workflow-service.workspace.test.ts;src-ts/tests/mcp/workflow-endpoints.integration.test.ts","true","Checkpoint endpoints no longer bypass workspace/session expectations and requested authority tests pass.",""
"DLV-004","Resolve uiBridge config-source drift","Make uiBridge enablement respect the same config/runtime truth exposed in settings and backend config APIs, or remove the mismatch cleanly if support is intentionally limited.","Desktop tests: npm --prefix desktop run test -- src/components/SettingsModal.test.tsx ; Backend tests: npm --prefix src-ts exec -- vitest run tests/mcp/config-endpoints.test.ts --reporter=default","UI, backend config, and runtime enablement tell the same truth for uiBridge; users cannot select a mode that silently fails due to config-source drift","desktop/src/components/SettingsModal.tsx;desktop/src/api/config.ts;src-ts/container/gateway-control-plane.ts;src-ts/mcp/config.ts;desktop/src/components/SettingsModal.test.tsx;src-ts/tests/mcp/config-endpoints.test.ts","There is already a config-aware resolver for uiBridge. Prefer converging the control plane on that shared resolver rather than adding new knobs. || src-ts/container/gateway-control-plane.ts;src-ts/mcp/config.ts;desktop/src/components/SettingsModal.test.tsx;src-ts/tests/mcp/config-endpoints.test.ts","Run the listed tests before reporting completion. Do not edit files outside scope.","","","1","completed","uiBridge drift was caused by the control plane latching the env var instead of the shared config-aware resolver; runtime enablement now stays in sync with backend config changes and reloads, and regression coverage proves the customer-visible save path.","src-ts/container/gateway-control-plane.ts;desktop/src/components/SettingsModal.test.tsx;src-ts/tests/mcp/config-endpoints.test.ts","true","uiBridge enablement now follows the same config/runtime truth exposed by settings and backend config APIs.",""
"DLV-003","Complete formal sign-off evidence pack","After code fixes land, regenerate and reconcile the formal release/sign-off evidence so the delivery manifest and sign-off requirements reflect the actual required artifacts.","Evidence commands: python scripts/release_check_summary.py ; python scripts/delivery_gate.py ; python scripts/check_authority_alignment.py","SIGN_OFF requirements and delivery artifacts are aligned; manifest/readme enumerate the required evidence without relying on out-of-band explanation","docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/**","Decide whether the gap is missing artifacts or stale sign-off policy, then fix the authoritative side rather than papering over the mismatch. || docs/release/SIGN_OFF.md;scripts/release_check_summary.py;.workflow/evidence/release/2026-04-13-delivery-manifest.md;.workflow/evidence/release/2026-04-13-package-readme.md;release-check-summary.md","Regenerate evidence after wave 1 finishes. Do not touch unrelated product code.","DLV-001;DLV-002;DLV-004","DLV-001;DLV-002;DLV-004","2","failed","Formal sign-off artifacts are now generated and documented, and the delivery manifest/readme were reconciled. The remaining blocker is a desktop_check regression: ChatArea.test.tsx still expects the old restoreCheckpoint signature after the checkpoint authority fix.","docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/release-readiness-artifact.json;.workflow/evidence/release/authority-alignment.json;.workflow/evidence/release/governance-scripts.junit.xml;.workflow/evidence/release/vitest-production-guard.xml;.workflow/evidence/release/vitest-e2e.xml;.workflow/evidence/release/2026-04-13-delivery-manifest.md;.workflow/evidence/release/2026-04-13-package-readme.md;.workflow/evidence/release/build-delivery-package.ps1;.workflow/evidence/release/verify-delivery-package.ps1","false","Evidence pack mismatch is fixed, but formal sign-off is still blocked until desktop_check returns to green.","desktop_check fails because desktop/src/components/ChatArea.test.tsx still asserts the old restoreCheckpoint call signature."
"DLV-002R","Repair ChatArea checkpoint regression after authority fix","Update the desktop regression test(s) affected by the checkpoint authority change so desktop_check returns to green without weakening the new scoped checkpoint behavior.","Desktop tests: npm --prefix desktop run test -- src/components/ChatArea.test.tsx ; Optional broader check if needed: npm --prefix desktop run check:local","ChatArea regression reflects the new scoped restoreCheckpoint call signature; desktop targeted tests pass and do not revert the authority fix","desktop/src/components/ChatArea.test.tsx","Keep the new checkpoint authority behavior. Repair the test expectation to match scoped restoreCheckpoint usage instead of reverting the product code. || desktop/src/components/ChatArea.test.tsx;desktop/src/hooks/useChatRecovery.ts;desktop/src/api/workflow/checkpoints.ts","Do not modify the newly added authority behavior. Fix only the regression in desktop tests or narrowly adjacent helper code if required.","DLV-002","DLV-002","2","pending","","","","",""
"DLV-002R","Repair ChatArea checkpoint regression after authority fix","Update the desktop regression test(s) affected by the checkpoint authority change so desktop_check returns to green without weakening the new scoped checkpoint behavior.","Desktop tests: npm --prefix desktop run test -- src/components/ChatArea.test.tsx ; Optional broader check if needed: npm --prefix desktop run check:local","ChatArea regression reflects the new scoped restoreCheckpoint call signature; desktop targeted tests pass and do not revert the authority fix","desktop/src/components/ChatArea.test.tsx","Keep the new checkpoint authority behavior. Repair the test expectation to match scoped restoreCheckpoint usage instead of reverting the product code. || desktop/src/components/ChatArea.test.tsx;desktop/src/hooks/useChatRecovery.ts;desktop/src/api/workflow/checkpoints.ts","Do not modify the newly added authority behavior. Fix only the regression in desktop tests or narrowly adjacent helper code if required.","DLV-002","DLV-002","2","completed","ChatArea regression now asserts the new scoped restoreCheckpoint call shape and verifies workspace payload resolution from currentConversationId, matching the new checkpoint authority model.","desktop/src/components/ChatArea.test.tsx","true","Desktop checkpoint restore regression is fixed without weakening the scoped authority behavior.",""
"DLV-003R","Re-run formal sign-off evidence pack after desktop regression fix","Refresh release/sign-off evidence after DLV-002R so the final manifest and release-readiness artifact reflect the repaired green state.","Evidence commands: python scripts/release_check_summary.py ; python scripts/delivery_gate.py ; python scripts/check_authority_alignment.py ; npm --prefix desktop run check:local","Formal sign-off evidence is regenerated on the repaired state and release readiness is no longer blocked by the ChatArea regression","docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/**","Reuse the fixed evidence-pack structure from DLV-003; this rerun is to clear the remaining desktop_check blocker and refresh outputs on the new state. || docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/2026-04-13-delivery-manifest.md;.workflow/evidence/release/2026-04-13-package-readme.md","Regenerate evidence only after DLV-002R succeeds. Do not touch unrelated product code.","DLV-002R","DLV-002R;DLV-003","3","pending","","","","",""
"DLV-003R","Re-run formal sign-off evidence pack after desktop regression fix","Refresh release/sign-off evidence after DLV-002R so the final manifest and release-readiness artifact reflect the repaired green state.","Evidence commands: python scripts/release_check_summary.py ; python scripts/delivery_gate.py ; python scripts/check_authority_alignment.py ; npm --prefix desktop run check:local","Formal sign-off evidence is regenerated on the repaired state and release readiness is no longer blocked by the ChatArea regression","docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/**","Reuse the fixed evidence-pack structure from DLV-003; this rerun is to clear the remaining desktop_check blocker and refresh outputs on the new state. || docs/release/SIGN_OFF.md;scripts/release_check_summary.py;release-check-summary.md;.workflow/evidence/release/2026-04-13-delivery-manifest.md;.workflow/evidence/release/2026-04-13-package-readme.md","Regenerate evidence only after DLV-002R succeeds. Do not touch unrelated product code.","DLV-002R","DLV-002R;DLV-003","3","completed","Release summary and readiness artifact were regenerated to GO; handoff evidence, manifest, metadata, and delivery archive were refreshed on the repaired green snapshot; build and verify package scripts passed.","release-check-summary.md;.workflow/evidence/release/release-readiness-artifact.json;.workflow/evidence/release/authority-alignment.json;.workflow/evidence/release/governance-scripts.junit.xml;.workflow/evidence/release/vitest-production-guard.xml;.workflow/evidence/release/vitest-e2e.xml;.workflow/evidence/release/2026-04-13-package-readme.md;.workflow/evidence/release/2026-04-13-delivery-manifest.md;.workflow/evidence/release/delivery-20260413-go.metadata.json;.workflow/evidence/release/delivery-20260413-go.zip;.workflow/evidence/release/delivery-20260413-go.zip.sha256;.workflow/evidence/release/delivery-20260413-go","true","Formal sign-off evidence is refreshed on a green state and the delivery archive is rebuilt and checksum-verified.",""
"DLV-005","Run customer-profile release acceptance pass","Run the customer-facing release acceptance pass on the repaired state and record a final GO/NO_GO report for delivery readiness.","python scripts/delivery_gate.py ; python scripts/check_authority_alignment.py ; npm --prefix src-ts run check:local ; npm --prefix desktop run check:local","A final acceptance report exists for the repaired state and clearly marks each customer-visible path as working, hidden, or out-of-scope",".workflow/evidence/release/**;.workflow/.csv-wave/cwp-delivery-readiness-fixes-20260413/**;release-check-summary.md","Use the repaired state and regenerated evidence from prior waves. Produce an auditable final report rather than only terminal output. || .workflow/evidence/release/2026-04-13-delivery-manifest.md;release-check-summary.md;.workflow/.team/UAN-project-delivery-audit-2026-04-13/conclusions.json","Treat this as final verification only after all prior fixes are complete.","DLV-001;DLV-002;DLV-003R;DLV-004","DLV-001;DLV-002;DLV-003R;DLV-004","4","failed","Current customer-profile acceptance is NO_GO on the present worktree: delivery_gate, authority_alignment, and desktop check:local passed, but src-ts check:local failed because src-ts/mcp/services/workflow.ts is dirty and TypeScript rejects engineWithAuthority accesses as never at lines 234, 235, 243, 244, and 253. Primary customer-visible desktop surfaces still test green, but the backend release gate is no longer converged with the prior GO evidence snapshot.",".workflow/.csv-wave/cwp-delivery-readiness-fixes-20260413/DLV-005-final-acceptance-report.md;.workflow/.csv-wave/cwp-delivery-readiness-fixes-20260413/discoveries.ndjson;.workflow/.csv-wave/cwp-delivery-readiness-fixes-20260413/tasks.csv","false","Customer-visible desktop surfaces are classified in the final acceptance report, but delivery readiness is NO_GO for the current worktree because npm --prefix src-ts run check:local fails.","npm --prefix src-ts run check:local -> typecheck failure in src-ts/mcp/services/workflow.ts:234,235,243,244,253 (TS2339, intersection reduced to never)"
"DLV-002T","Repair workflow service type bridge after acceptance failure","Fix the TypeScript bridge in src-ts/mcp/services/workflow.ts so the checkpoint authority changes remain intact while src-ts check:local returns to green.","npm --prefix src-ts run check:local","workflow.ts no longer triggers TS2339 never-type errors at the engine authority bridge; src-ts local gate returns green without reverting authority behavior","src-ts/mcp/services/workflow.ts","Avoid intersecting WorkflowEngineRuntime with a structural type that references the class private checkpoints member. Prefer a structural bridge cast via unknown. || src-ts/mcp/services/workflow.ts","Do not change checkpoint authority runtime semantics; this is a type-bridge repair only.","DLV-005","DLV-005;DLV-002","5","completed","Replaced the private-member-conflicting class intersection with a structural authority bridge cast via unknown, preserving runtime behavior while clearing TS2339 errors in workflow.ts.","src-ts/mcp/services/workflow.ts","true","src-ts check:local is green again and the checkpoint authority implementation remains intact.",""
