"id","title","description","layer","phase_dir","check_type","deps","context_from","wave","status","findings","gaps_found","fix_plan","error"
"1","Truth: Main UI exposes writing-craft host","Verify observable behavior: the primary AnalysisPanel exposes the writing-craft tab and mounts the host component with current chapter text and LLM config.","truth",".workflow/scratch/20260507-plan-P1-writing-craft-ui","observable_behavior","","","1","completed","Verified from current HEAD: AnalysisPanel mounts WritingDashboard with text and llmConfig, and AnalysisPanel.test.tsx asserts the visible host path and backend-trigger call.","[]","",""
"2","Truth: Desktop bridge reaches analyze and deep-analysis flows","Verify observable behavior: desktop bridge sends analyze and llm-analyze requests and unwraps backend envelopes into usable UI data.","truth",".workflow/scratch/20260507-plan-P1-writing-craft-ui","observable_behavior","","","1","completed","Verified by current bridge implementation plus passing desktop bridge unit, integration, and e2e tests for /writing-craft/analyze and /writing-craft/llm-analyze.","[]","",""
"3","Truth: MCP backend serves writing-craft endpoints","Verify observable behavior: MCP backend exposes analyze and llm endpoints with structured success and fallback responses.","truth",".workflow/scratch/20260507-plan-P1-writing-craft-ui","observable_behavior","","","1","completed","Verified by content route wiring and 12 passing endpoint tests covering empty-input guards, 6-dimension analysis, provider payload, and fallback behavior.","[]","",""
"4","Artifact Exists: AnalysisPanel.tsx","Check L1 existence for desktop/src/components/AnalysisPanel.tsx.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","File exists on current HEAD and contains writing_craft tab plus WritingDashboard mount.","[]","",""
"5","Artifact Exists: writing-craft desktop API","Check L1 existence for desktop/src/api/writing-craft.ts.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","File exists on current HEAD and exports analyzeWritingCraft plus analyzeWritingCraftLLM.","[]","",""
"6","Artifact Exists: WritingDashboard.tsx","Check L1 existence for desktop/src/components/intelligence/WritingDashboard.tsx.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","File exists on current HEAD and renders the 6-dimension dashboard shell.","[]","",""
"7","Artifact Exists: WritingDimensionDetail.tsx","Check L1 existence for desktop/src/components/intelligence/WritingDimensionDetail.tsx.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","File exists on current HEAD and contains deep-analysis and anti-pattern detail rendering.","[]","",""
"8","Artifact Exists: AntiPatternWarning.tsx","Check L1 existence for desktop/src/components/intelligence/AntiPatternWarning.tsx.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","exists","","","1","completed","File exists on current HEAD and provides severity-aware anti-pattern status UI.","[]","",""
"9","Artifact Substance: AnalysisPanel.tsx","Check L2 substance: verify AnalysisPanel has real host logic, not a placeholder.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","4","4","2","completed","Substantive implementation: writing_craft tab labels/icons, chapter-text extraction, LLM provider lookup, and WritingDashboard mount are all present.","[]","",""
"10","Artifact Substance: writing-craft desktop API","Check L2 substance: verify desktop/src/api/writing-craft.ts contains real bridge logic.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","5","5","2","completed","Substantive implementation: typed result contracts, unwrapWritingCraftResponse helper, and dedicated analyze plus llm-analyze bridge calls are present.","[]","",""
"11","Artifact Substance: WritingDashboard.tsx","Check L2 substance: verify WritingDashboard contains real UX and backend-call logic.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","6","6","2","completed","Substantive implementation: analyze trigger, result state, 6-dimension tabs, export actions, placeholder, loading, error, and nested detail rendering are present.","[]","",""
"12","Artifact Substance: WritingDimensionDetail.tsx","Check L2 substance: verify WritingDimensionDetail contains real nested detail and deep-analysis logic.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","7","7","2","completed","Substantive implementation: evidence and suggestion rendering, AntiPatternWarning mount, and LLM deep-analysis request with result handling are present.","[]","",""
"13","Artifact Substance: AntiPatternWarning.tsx","Check L2 substance: verify AntiPatternWarning is a real component, not a stub.","artifact",".workflow/scratch/20260507-plan-P1-writing-craft-ui","substance","8","8","2","completed","Substantive implementation: severity tone resolution, descriptive copy, and health plus critical counters are present.","[]","",""
"14","Wiring: AnalysisPanel -> WritingDashboard","Check L3 wiring: verify AnalysisPanel passes current chapter text and llmConfig into WritingDashboard.","wiring",".workflow/scratch/20260507-plan-P1-writing-craft-ui","import_usage","4;6;9;11","4;6;9;11","2","completed","Wired: AnalysisPanel imports WritingDashboard and passes text={writingCraftText}, visible={true}, llmConfig={llmConfig}; host-path test asserts backend-trigger call.","[]","",""
"15","Wiring: WritingDashboard -> WritingDimensionDetail","Check L3 wiring: verify WritingDashboard passes text and llmConfig into WritingDimensionDetail for deep analysis.","wiring",".workflow/scratch/20260507-plan-P1-writing-craft-ui","import_usage","6;7;11;12","6;7;11;12","2","completed","Wired: WritingDashboard renders WritingDimensionDetail with dimension, text, and llmConfig; host test covers AI deep-analysis button path.","[]","",""
"16","Wiring: Desktop bridge -> MCP endpoints","Check L3 wiring: verify desktop bridge posts to /writing-craft/analyze and /writing-craft/llm-analyze and unwraps the backend envelope.","wiring",".workflow/scratch/20260507-plan-P1-writing-craft-ui","import_usage","5;10","5;10","2","completed","Wired: writing-craft.ts posts to both endpoints through unwrapWritingCraftResponse, and bridge tests confirm POST payloads plus envelope unwrapping.","[]","",""
